"seasonal","trend","remainder","date"
-2380.77956464368,13683.1349681786,2325.64459646506,2020-11-23
-2089.47329282349,13750.6103157977,5026.86297702582,2020-11-24
-655.860523328672,13818.0856634167,4205.77485991197,2020-11-25
646.954113934039,13885.5610110357,4162.48487503021,2020-11-26
6500.92426783209,13953.0363586548,4904.03937351312,2020-11-27
2420.34024541623,14020.5117062738,10923.1480483099,2020-11-28
-4442.10523641906,14087.9870538929,9750.11818252619,2020-11-29
-2380.77956464368,14155.4624015119,6593.31716313177,2020-11-30
-2089.47329282349,14222.937749131,4184.53554369253,2020-12-01
-655.860523328672,14290.41309675,5655.44742657868,2020-12-02
646.954113934039,14357.888444369,5550.15744169692,2020-12-03
6500.92426783209,14425.3637919881,6257.71194017983,2020-12-04
2420.34024541623,14492.8391396071,10637.8206149767,2020-12-05
-4442.10523641906,14560.3144872262,11906.7907491929,2020-12-06
-2380.77956464368,14627.7898348452,4845.98972979848,2020-12-07
-2089.47329282349,14695.2651824642,7902.20811035924,2020-12-08
-655.860523328672,14762.7405300833,9885.11999324539,2020-12-09
646.954113934039,14830.2158777023,7950.83000836363,2020-12-10
6500.92426783209,14897.6912253214,8637.38450684654,2020-12-11
2420.34024541623,14965.1665729404,17418.4931816434,2020-12-12
-4442.10523641906,15032.6419205595,13276.4633158596,2020-12-13
-2380.77956464368,15100.1172681785,7862.66229646519,2020-12-14
-2089.47329282349,15167.5926157975,8019.88067702595,2020-12-15
-655.860523328672,15235.0679634166,11520.7925599121,2020-12-16
646.954113934039,15302.5433110356,10351.5025750303,2020-12-17
6500.92426783209,15370.0186586547,10527.0570735133,2020-12-18
2420.34024541623,15437.4940062737,17804.1657483101,2020-12-19
-4442.10523641906,15504.9693538927,19828.1358825263,2020-12-20
-2380.77956464368,15572.4447015118,15355.3348631319,2020-12-21
-2089.47329282349,15639.9200491308,11514.5532436927,2020-12-22
-655.860523328672,15707.3953967499,23339.4651265788,2020-12-23
646.954113934039,15774.8707443689,15722.1751416971,2020-12-24
6500.92426783209,15838.6546709759,-1678.57893880799,2020-12-25
2420.34024541623,15902.4385975829,15945.2211570009,2020-12-26
-4442.10523641906,15966.2225241899,7784.88271222918,2020-12-27
-2380.77956464368,16030.0064507969,10694.7731138468,2020-12-28
-2089.47329282349,16093.7903774039,12301.6829154196,2020-12-29
-655.860523328672,16157.5743040109,9512.28621931781,2020-12-30
646.954113934039,16221.3582306179,6133.6876554481,2020-12-31
6500.92426783209,16285.1421572249,-5562.06642505694,2021-01-01
2420.34024541623,16348.9260838318,-2382.26632924807,2021-01-02
-4442.10523641906,16412.7100104388,1437.39522598022,2021-01-03
-2380.77956464368,16476.4939370458,106.285627597852,2021-01-04
-2089.47329282349,16540.2778636528,480.195429170661,2021-01-05
-655.860523328672,16604.0617902598,1073.79873306886,2021-01-06
646.954113934039,16667.8457168668,434.20016919915,2021-01-07
6500.92426783209,16731.6296434738,-4335.55391130589,2021-01-08
2420.34024541623,16795.4135700808,331.246184502976,2021-01-09
-4442.10523641906,16859.1974966878,715.907739731272,2021-01-10
-2380.77956464368,16922.9814232948,-2648.2018586511,2021-01-11
-2089.47329282349,16986.7653499018,2943.70794292171,2021-01-12
-655.860523328672,17050.5492765088,295.311246819903,2021-01-13
646.954113934039,17114.3332031158,1186.7126829502,2021-01-14
6500.92426783209,17178.1171297228,-4012.04139755484,2021-01-15
2420.34024541623,17241.9010563297,2955.75869825402,2021-01-16
-4442.10523641906,17305.6849829367,6503.42025348232,2021-01-17
-2380.77956464368,17369.4689095437,3297.31065509995,2021-01-18
-2089.47329282349,17433.2528361507,3633.22045667276,2021-01-19
-655.860523328672,17497.0367627577,4083.82376057095,2021-01-20
646.954113934039,17560.8206893647,1178.22519670125,2021-01-21
6500.92426783209,17624.6046159717,-816.528883803792,2021-01-22
2420.34024541623,17688.3885425787,2230.27121200507,2021-01-23
-4442.10523641906,17752.1724691857,976.932767233371,2021-01-24
-2380.77956464368,17815.9563957927,-47.1768311490014,2021-01-25
-2089.47329282349,17879.7403223997,3857.73297042381,2021-01-26
-655.860523328672,17943.5242490067,2981.336274322,2021-01-27
646.954113934039,18007.3081756137,329.737710452297,2021-01-28
6500.92426783209,18071.0921022207,-8210.01637005274,2021-01-29
2420.34024541623,18134.8760288276,2430.78372575612,2021-01-30
-4442.10523641906,18167.8433333489,4267.26190307013,2021-01-31
-2380.77956464368,18200.8106378702,504.968926773472,2021-02-01
-2089.47329282349,18233.7779423915,1901.695350432,2021-02-02
-655.860523328672,18266.7452469128,1419.11527641591,2021-02-03
646.954113934039,18299.712551434,-1668.66666536809,2021-02-04
6500.92426783209,18332.6798559553,-6687.60412378742,2021-02-05
2420.34024541623,18365.6471604766,4213.01259410716,2021-02-06
-4442.10523641906,18398.6144649979,4054.49077142118,2021-02-07
-2380.77956464368,18431.5817695192,202.197795124517,2021-02-08
-2089.47329282349,18464.5490740404,1218.92421878304,2021-02-09
-655.860523328672,18497.5163785617,-173.655855233053,2021-02-10
646.954113934039,18530.483683083,-1173.43779701705,2021-02-11
6500.92426783209,18563.4509876043,-4220.37525543637,2021-02-12
2420.34024541623,18596.4182921256,-17433.7585375418,2021-02-13
-4442.10523641906,18629.3855966468,-10263.2803602278,2021-02-14
-2380.77956464368,18662.3529011681,-12037.5733365244,2021-02-15
-2089.47329282349,18695.3202056894,-12515.8469128659,2021-02-16
-655.860523328672,18728.2875102107,-13677.426986882,2021-02-17
646.954113934039,18761.254814732,-4023.208928666,2021-02-18
6500.92426783209,18794.2221192532,-7112.14638708533,2021-02-19
2420.34024541623,18827.1894237745,3321.47033080925,2021-02-20
-4442.10523641906,18860.1567282958,4054.94850812326,2021-02-21
-2380.77956464368,18893.1240328171,-610.3444681734,2021-02-22
-2089.47329282349,18926.0913373384,-208.618044514875,2021-02-23
-655.860523328672,18959.0586418596,-400.198118530967,2021-02-24
646.954113934039,18992.0259463809,-965.98006031496,2021-02-25
6500.92426783209,19024.9932509022,-3145.91751873429,2021-02-26
2420.34024541623,19057.9605554235,4176.69919916029,2021-02-27
-4442.10523641906,19090.9278599448,5585.1773764743,2021-02-28
-2380.77956464368,19123.895164466,-852.115599822355,2021-03-01
-2089.47329282349,19156.8624689873,-452.389176163833,2021-03-02
-655.860523328672,19189.8297735086,-77.9692501799254,2021-03-03
646.954113934039,19222.7970780299,-699.751191963918,2021-03-04
6500.92426783209,19255.7643825512,-1918.68865038325,2021-03-05
2420.34024541623,19288.7316870724,9434.92806751134,2021-03-06
-4442.10523641906,19321.6989915937,13613.4062448253,2021-03-07
-2380.77956464368,19354.666296115,1884.11326852869,2021-03-08
-2089.47329282349,19346.3891719852,-429.915879161679,2021-03-09
-655.860523328672,19338.1120478553,65.7484754733414,2021-03-10
646.954113934039,19329.8349237255,-1014.78903765954,2021-03-11
6500.92426783209,19321.5577995957,-2327.48206742776,2021-03-12
2420.34024541623,19313.2806754658,-1289.62092088207,2021-03-13
-4442.10523641906,19305.003551336,5070.10168508306,2021-03-14
-2380.77956464368,19296.7264272062,947.05313743751,2021-03-15
-2089.47329282349,19288.4493030763,490.02398974714,2021-03-16
-655.860523328672,19280.1721789465,652.688344382161,2021-03-17
646.954113934039,19271.8950548167,293.150831249281,2021-03-18
6500.92426783209,19263.6179306868,187.457801481065,2021-03-19
2420.34024541623,19255.340806557,6464.31894802676,2021-03-20
-4442.10523641906,19247.0636824272,4382.04155399188,2021-03-21
-2380.77956464368,19238.7865582974,726.993006346329,2021-03-22
-2089.47329282349,19230.5094341675,1601.96385865596,2021-03-23
-655.860523328672,19222.2323100377,1387.62821329098,2021-03-24
646.954113934039,19213.9551859079,1274.0907001581,2021-03-25
6500.92426783209,19205.678061778,-39.6023296101121,2021-03-26
2420.34024541623,19197.4009376482,5617.25881693558,2021-03-27
-4442.10523641906,19189.1238135184,6025.9814229007,2021-03-28
-2380.77956464368,19180.8466893885,1129.93287525515,2021-03-29
-2089.47329282349,19172.5695652587,3974.90372756479,2021-03-30
-655.860523328672,19164.2924411289,2787.56808219981,2021-03-31
646.954113934039,19156.015316999,5407.03056906692,2021-04-01
6500.92426783209,19147.7381928692,-5716.66246070129,2021-04-02
2420.34024541623,19139.4610687394,7040.1986858444,2021-04-03
-4442.10523641906,19131.1839446095,9154.92129180952,2021-04-04
-2380.77956464368,19122.9068204797,6027.87274416397,2021-04-05
-2089.47329282349,19114.6296963499,9027.84359647361,2021-04-06
-655.860523328672,19106.35257222,9248.50795110863,2021-04-07
646.954113934039,19098.0754480902,6753.97043797575,2021-04-08
6500.92426783209,19089.7983239604,4681.27740820753,2021-04-09
2420.34024541623,19081.5211998305,8913.13855475322,2021-04-10
-4442.10523641906,19073.2440757007,6393.86116071834,2021-04-11
-2380.77956464368,19064.9669515709,7542.81261307279,2021-04-12
-2089.47329282349,19056.6898274411,8879.78346538243,2021-04-13
-655.860523328672,19048.4127033112,8834.44782001745,2021-04-14
646.954113934039,19008.1692021832,9105.87668388274,2021-04-15
6500.92426783209,18967.9257010552,8191.15003111269,2021-04-16
2420.34024541623,18927.6821999272,12218.9775546566,2021-04-17
-4442.10523641906,18887.4386987992,11025.6665376199,2021-04-18
-2380.77956464368,18847.1951976712,3949.58436697248,2021-04-19
-2089.47329282349,18806.9516965432,-705.478403719717,2021-04-20
-655.860523328672,18766.7081954152,2181.15232791348,2021-04-21
646.954113934039,18726.4646942872,2435.58119177877,2021-04-22
6500.92426783209,18686.2211931592,1485.85453900872,2021-04-23
2420.34024541623,18645.9776920312,6016.68206255259,2021-04-24
-4442.10523641906,18605.7341909032,8312.37104551588,2021-04-25
-2380.77956464368,18565.4906897752,1931.28887486851,2021-04-26
-2089.47329282349,18525.2471886472,2389.22610417631,2021-04-27
-655.860523328672,18485.0036875192,2780.8568358095,2021-04-28
646.954113934039,18444.7601863912,3333.28569967479,2021-04-29
6500.92426783209,18404.5166852632,2931.55904690475,2021-04-30
2420.34024541623,18364.2731841352,10403.3865704486,2021-05-01
-4442.10523641906,18324.0296830072,8901.07555341191,2021-05-02
